Run,Light,Smoke,Quality,Speed,Dist
1,0.1224256293,0.3238095238,0.2141283107,0.05194805195,0.7826086957
2,0.86744034,0.3619047619,0.9129350131,0.5584415584,0.3826086957
3,0.1833932658,0.5238095238,0.2569955511,0.2987012987,0.4086956522
4,0.1312520432,0.3142857143,0.1222402395,0.02597402597,0.7043478261
5,0.218372017,0.9714285714,0.6271672696,0.5324675325,0.1391304348
6,0.2920889179,0.4380952381,0.3566171885,0.3246753247,0.5304347826
7,0.8435763321,0.05714285714,1,1,0.2608695652
8,0.5514874142,0.2666666667,0.5439274874,0.8311688312,0.2434782609
9,0.3370382478,0.5047619048,0.2741673943,0.5714285714,0.1652173913
10,0.2512258908,0.2380952381,0.2618186354,0.7922077922,0.04347826087
11,0.3958810069,0.3904761905,0.5207267889,0.6883116883,0.05217391304
12,0.09055246813,0.5047619048,0.157540227,0.1428571429,0.5826086957
13,0.4053612292,0.3333333333,0.5586877884,0.1168831169,0.7565217391
14,0.3546910755,0.3523809524,0.4486715729,0.7012987013,0.1217391304
15,0.2986270023,0.1904761905,0.2293875515,0.01298701299,1
16,0.3532200065,0.1238095238,0.3599850318,0.06493506494,0.8869565217
17,0.2551487414,0.3047619048,0.2604049728,0.09090909091,0.6608695652
18,0.1806145799,0.2857142857,0.01941707206,0.06493506494,0.7391304348
19,0.4530892449,0,0.2485551536,0.8311688312,0.2260869565
20,0.5866296175,0.3047619048,0.6098291131,0.7792207792,0.252173913
21,0.5934946061,0.09523809524,0.615400607,0.987012987,0.252173913
22,0.5456031383,0.6,0.6611367511,0.09090909091,0.7217391304
23,0.3831317424,0.3523809524,0.4138705251,0.06493506494,0.9130434783
24,0.06930369402,0.3523809524,0.03426052971,0,0.8260869565
25,0.2822817914,0.1619047619,0.2159993347,0.06493506494,0.8173913043
26,0.332788493,0.2380952381,0.1160450709,0.2207792208,0.6260869565
27,0.3725073553,0.06666666667,0.2048979252,0.06493506494,0.8086956522
28,0.2458319712,0.4666666667,0.3676354414,0.3376623377,0.2869565217
29,0.3600849951,0.1714285714,0.3628123571,0.8571428571,0.3739130435
30,1,0,0.8354330381,0.8571428571,0.1652173913
31,0.1520104609,0.3238095238,0.1039042036,0.09090909091,0.7304347826
32,0.9753187316,0.1333333333,0.8988399651,0.9090909091,0.1565217391
33,0.2322654462,0.2285714286,0.1995343229,0.7272727273,0.08695652174
34,0.1829029094,0.1428571429,0.01384557815,0.01298701299,0.9913043478
35,0.409610984,0.2666666667,0.4493784042,0.2467532468,0.5130434783
36,0.194344557,0.1619047619,0.09055756517,0.06493506494,0.7826086957
37,0.4543968617,0.580952381,0.5222651865,0.6103896104,0.4086956522
38,0.5644001308,0.3142857143,0.7698640389,0.8571428571,0.1565217391
39,0.6232428898,0.08571428571,0.6126564384,0.8571428571,0.2086956522
40,0.1864988558,0.2476190476,0.1781630701,0.7012987013,0
41,0.1829029094,0.05714285714,0,0.01298701299,0.9043478261
42,0.1196469434,0.4571428571,0.2695522016,0.1038961039,0.8347826087
43,0.255966002,0.180952381,0.2174129974,0.5584415584,0.1565217391
44,0,1,0.1283938298,0,0.9739130435
45,0.5057208238,0,0.3913350796,0.8311688312,0.2434782609
46,0.2731284734,0.07619047619,0.3323354538,0.7922077922,0.2347826087
47,0.3677672442,0.6095238095,0.4223109226,0.5714285714,0.3652173913
48,0.400621118,0.09523809524,0.2473909609,0.1688311688,0.4086956522
49,0.5351422033,0.2,0.4886283315,0.06493506494,0.8695652174
50,0.4092840798,0.1047619048,0.2199908528,0.07792207792,0.652173913
